Customer_ID,Average_Wallet_Balance_(INR),Avg recharge value_(INR),Customer_Age,Gender,Income,City,Avg_transaction_amount_for_bill_payments_(INR),Avg_amount_of_Retail_e-commerce_payments_(INR),Average_duration_of_each_session_in_Min,Average_Transfer_Amount_(INR),No._of_P2P_transfers in a month,Average_Withdrawal_amount_(INR),CIBIL_Score,Automatic_payment_enabled,Max_Transaction_Amount_(INR),Avg_Spend_Per_Month,Automatic_payments_total_amount,Wallet_activated_at,Last_Activity_Date,"high_risk vs low_risk (1= High risk, 0= Low risk)"
CI261771,2285.5,823.25,51,M,5L-10L,Tier 3,207.74,750,3.01,1050,3,860.45,782,Yes,12590,1463.74,2469,42766,44468,0
CI503868,955.89,105.63,61,F,5L-10L,Tier 1,403.06,600,1,2600,7,1386.23,589,No,4355,1509.06,2849,43108,44453,0
CI136339,2511.64,468.16,57,M,>20L,Tier 1,2366.93,250,2.01,1250,4,1329.14,567,No,5297,3122.93,2565,44119,44430,0
CI695938,1274.64,635.64,68,M,<5L,Tier 1,1259.89,300,4.01,2950,7,849.52,686,No,9194,2065.89,4175,44491,44501,0
CI649492,4805.82,1388.94,47,U,<5L,Tier 1,382.18,850,1.01,1450,4,1138.51,866,No,5315,1738.18,576,43804,44485,0
CI369130,1009.5,370.5,47,M,>20L,Tier 1,3249.19,900,2,1250,9,1629.61,965,No,12668,4655.19,1628,44222,44466,0
CI210920,2888.76,562.44,25,M,10L-20L,Tier 1,1636.67,450,2,1150,4,667.08,749,No,3020,2592.67,4037,43315,44428,0
CI518645,1407.007,1271.01,31,M,10L-20L,Tier 1,158.93,388,2.01,1200,10,1832.77,821,No,5640,1128.93,287,43827,44457,1
CI780091,1380.69,741.69,63,F,<5L,Tier 2,1019.03,250,4.01,1350,4,1066.87,830,No,12329,1775.03,1111,44308,44498,0
CI952162,5096.2,1114.3,25,M,<5L,Tier 2,3296.07,3700,4,1200,10,1130.37,909,Yes,8786,7502.07,1210,44450,44503,0
CI571308,845.96,103.48,59,M,>20L,Tier 1,2395.81,850,2.01,1000,5,603.81,792,No,8435,3751.81,4079,44496,44506,0
CI364596,2631.78,664.26,61,U,5L-10L,Tier 2,2138.38,550,2.01,1100,6,768.93,681,No,2016,3194.38,2986,42687,44429,0
CI813346,2829.26,1095.13,46,M,<5L,Tier 1,1300.09,450,4.01,1000,4,742.48,527,No,2472,2256.09,1045,43348,44464,0
CI800433,1282.08,321.54,18,F,5L-10L,Tier 2,357.04,750,2,1000,6,1296.21,397,No,5148,1613.04,2889,44041,44474,0
CI398400,1138.92,499.92,24,U,<5L,Tier 1,1447.12,4700,4,2300,10,1234.21,503,Yes,11102,6653.12,4462,44011,44429,0
CI940009,3703.32,1021.44,50,M,>20L,Tier 2,3058.62,400,1.01,1100,9,1384.01,642,Yes,11441,3964.62,1353,42785,44431,0
CI251897,2088.14,724.57,44,M,<5L,Tier 1,2695.55,2350,1.01,1050,1,1024.63,796,No,2501,5551.55,1687,44009,44502,0
CI172244,2685.64,1023.32,39,M,<5L,Tier 2,1749.39,300,1.01,1000,2,1530.46,596,Yes,1610,2555.39,3105,43671,44423,0
CI254218,3463.35,941.45,19,M,5L-10L,Tier 2,3002.21,800,2,1200,4,1279.05,612,No,10557,4308.21,3166,44310,44468,0
CI408638,2943.82,1152.41,47,M,10L-20L,Tier 2,2500.57,850,3,1450,3,1450.06,453,No,11248,3856.57,900,44389,44429,0
CI615745,4643.044,1370.48,8,F,<5L,Tier 1,2375.61,752,2.01,1417,4,1682.64,709,No,4130,3755.61,4492,42852,44471,1
CI400570,1865.65,1226.65,29,M,5L-10L,Tier 1,975.55,350,4,1250,8,1313.26,576,Yes,12584,1831.55,4383,44213,44470,0
CI415791,1766.74,1127.74,24,F,5L-10L,Tier 2,1403.73,2950,2,1300,2,648.88,490,No,7262,4859.73,877,44032,44446,0
CI987234,6004.08,1341.27,19,M,5L-10L,Tier 1,837.92,850,1.01,1300,5,1499,406,No,12745,2193.92,4175,43617,44491,0
